"Fterm","classlvl.x","cnt.x","1.x","2.x","3.x","4.x","g-p.x","master.x","Phd.x","spcl.x","new.x","cnt.y.x","1.y","2.y","3.y","4.y","g-p.y","master.y","Phd.y","spcl.y","new.y","cnt.y.y","FTDCU","Grad","Transfer"
1004,"1",9141,0.733617766108741,0.209605076031069,0.000546986106552894,0.000109397221310579,0,0,0,0,309,7026,0.239681184173071,0.666666666666667,0.00128095644748079,0.000142328494164532,0,0,0,0,7260,8969,6824,1549,1766
1004,"2",7720,0.000906735751295337,0.651554404145078,0.293782383419689,0,0,0.000129533678756477,0.000129533678756477,0,313,7264,0.000412995594713656,0.30988436123348,0.60875550660793,0.00137665198237885,0.000275330396475771,0,0,0,1193,8136,6824,1549,1766
1004,"3",8617,0,0.000348149007775328,0.661367065103864,0.303121736103052,0,0,0,0,326,8310,0.000120336943441637,0,0.412635379061372,0.532851985559567,0.00228640192539109,0.000240673886883273,0,0,713,8583,6824,1549,1766
1004,"4",8546,0.000234027615258601,0,0.000585069038146501,0.771238006084718,0,0.0106482564942663,0.000702082845775802,0,309,9529,0,0,0.000734599643194459,0.438765872599433,0.00703116801343268,0.0714660510022038,0.000944485255535733,0,248,8883,6824,1549,1766
1004,"g-p",1367,0,0,0,0.00365764447695684,0.98902706656913,0,0,0,4,1356,0,0,0,0.000737463126843658,0.771386430678466,0.00147492625368732,0.000737463126843658,0,238,1378,6824,1549,1766
1004,"master",4906,0,0,0.000203832042397065,0.00183448838157358,0,0.790052996331023,0.0118222584590298,0,867,4856,0,0,0,0.00226523887973641,0.000823723228995058,0.561367380560132,0.0296540362438221,0,1697,5141,6824,1549,1766
1004,"Phd",2751,0,0,0,0,0,0.00617957106506725,0.90948745910578,0,144,2711,0,0,0,0,0.000737735153080044,0.00959055699004058,0.812984138694209,0,476,2834,6824,1549,1766
1004,"spcl",318,0.00628930817610063,0.00628930817610063,0.0188679245283019,0.00628930817610063,0,0.0125786163522013,0,0.449685534591195,160,303,0.0693069306930693,0.0264026402640264,0.0099009900990099,0.0099009900990099,0,0.0231023102310231,0,0.214521452145215,238,303,6824,1549,1766
1014,"1",8969,0.73174266919389,0.213178726725387,0.00033448544988293,0,0,0.000111495149960977,0,0,345,6918,0.231280716970223,0.680688060132986,0.00173460537727667,0,0,0,0,0,7235,8860,6767,1564,1874
1014,"2",8136,0.000614552605703048,0.655113077679449,0.291666666666667,0,0,0,0,0,344,7590,0,0.290250329380764,0.634782608695652,0.000658761528326746,0.000658761528326746,0,0,0.000131752305665349,1071,7986,6767,1564,1874
1014,"3",8583,0.00011650937900501,0,0.672608644995922,0.300361179074916,0,0,0,0,308,8462,0,0,0.405223351453557,0.545024816828173,0.00153627983928149,0.000118175372252423,0,0,666,8938,6767,1564,1874
1014,"4",8883,0,0.000112574580659687,0.000337723741979061,0.788697512101767,0,0.00821794438815715,0,0,294,9889,0.00010112245929821,0,0.000606734755789261,0.429568207098797,0.00637071493578724,0.0754373546364648,0.00182020426736778,0.00020224491859642,236,9118,6767,1564,1874
1014,"g-p",1378,0,0,0,0,0.990566037735849,0,0,0,6,1371,0,0,0,0,0.757111597374179,0,0,0,261,1391,6767,1564,1874
1014,"master",5141,0.000194514685858782,0,0.000194514685858782,0.00155611748687026,0,0.786811904298775,0.0103092783505155,0,950,5100,0,0,0,0.00156862745098039,0.00156862745098039,0.576470588235294,0.0264705882352941,0,1674,5395,6767,1564,1874
1014,"Phd",2834,0,0,0,0,0,0.00917431192660551,0.903316866619619,0,158,2771,0,0,0,0,0.000721761097076868,0.00757849151930711,0.82713821725009,0,507,2954,6767,1564,1874
1014,"spcl",303,0.0099009900990099,0.0099009900990099,0.0033003300330033,0.0099009900990099,0,0.0165016501650165,0,0.518151815181518,149,306,0.0784313725490196,0.00980392156862745,0.0228758169934641,0.0294117647058824,0.00326797385620915,0.042483660130719,0.0065359477124183,0.245098039215686,217,295,6767,1564,1874
1024,"1",8860,0.74548532731377,0.202708803611738,0.000451467268623025,0,0,0,0,0,227,6841,0.204940798128929,0.70662183891244,0.00102324221605029,0,0.000146177459435755,0,0,0,7286,8706,6886,1690,1632
1024,"2",7986,0.000751314800901578,0.6587778612572,0.29351364888555,0,0,0,0,0,312,7371,0.000542667209333876,0.267806267806268,0.652150318816985,0.00122100122100122,0.000407000407000407,0,0,0,1080,7895,6886,1690,1632
1024,"3",8938,0,0.000111881852763482,0.670731707317073,0.296151264264936,0,0,0,0,266,8612,0.00011611704598235,0.0002322340919647,0.388411518810961,0.56967022758941,0.0016256386437529,0,0,0,601,8770,6886,1690,1632
1024,"4",9118,0.000109673173941654,0,0.000219346347883308,0.778898881333626,0,0.005703005044966,0.000109673173941654,0,296,10060,9.9403578528827e-05,0,0.000298210735586481,0.404473161033797,0.00646123260437376,0.0743538767395626,0.00119284294234592,0,251,9246,6886,1690,1632
1024,"g-p",1391,0,0,0,0.00215672178289001,0.98274622573688,0.00143781452192667,0,0,2,1369,0,0,0,0,0.739225712198685,0.00219138056975895,0.000730460189919649,0,275,1380,6886,1690,1632
1024,"master",5395,0,0,0,0.0020389249304912,0,0.799629286376274,0.00982391102873031,0.000185356811862836,956,5357,0.000186671644577189,0,0.000373343289154377,0.00149337315661751,0.00112002986746313,0.552174724659324,0.0255740153070749,0.000186671644577189,1562,5309,6886,1690,1632
1024,"Phd",2954,0,0,0,0,0,0.0104942450914015,0.902843601895735,0,142,2864,0,0,0,0,0.00104748603351955,0.0111731843575419,0.82018156424581,0,500,3000,6886,1690,1632
1024,"spcl",295,0.00677966101694915,0.00338983050847458,0.00338983050847458,0.00338983050847458,0,0.00677966101694915,0.00338983050847458,0.528813559322034,130,287,0.0383275261324042,0.0174216027874564,0.0174216027874564,0.0104529616724739,0.00348432055749129,0.0209059233449477,0.00348432055749129,0.18815331010453,181,236,6886,1690,1632
1034,"1",8706,0.749827705031013,0.195037904893177,0.000344589937973811,0,0,0,0,0,235,6774,0.20947741364039,0.707558311189843,0.00250959551225273,0.000147623265426631,0.000147623265426631,0,0,0,7786,9228,6849,1605,1645
1034,"2",7895,0.000759974667511083,0.671437618746042,0.282963901203293,0.000253324889170361,0,0,0,0,285,7286,0.000137249519626681,0.253774361789734,0.673757891847379,0.00150974471589349,0.000411748558880044,0,0,0,1096,7752,6849,1605,1645
1034,"3",8770,0.000114025085518814,0.000114025085518814,0.673204104903079,0.295781071835804,0,0,0,0,292,8441,0.00011846937566639,0.00023693875133278,0.393436796588082,0.568889941950006,0.00106622438099751,0.00011846937566639,0,0,625,8887,6849,1605,1645
1034,"4",9246,0.000216309755569976,0,0.00054077438892494,0.788773523685918,0,0.00789530607830413,0.000108154877784988,0,308,10205,0.000293973542381186,0,0.0006859382655561,0.408231259186673,0.00734933855952964,0.0670259676629103,0.0013718765311122,0,252,9240,6849,1605,1645
1034,"g-p",1380,0,0,0,0,0.98695652173913,0.00217391304347826,0,0,3,1366,0,0,0,0,0.74597364568082,0,0.00146412884333821,0,263,1388,6849,1605,1645
1034,"master",5309,0,0,0,0.00113015633829346,0.000188359389715577,0.779054435863628,0.00772273497833867,0,899,5130,0,0.000389863547758285,0.000194931773879142,0.00155945419103314,0.00272904483430799,0.531578947368421,0.0230019493177388,0,1491,4941,6849,1605,1645
1034,"Phd",3000,0,0,0,0,0,0.00566666666666667,0.919333333333333,0,138,2939,0,0,0,0,0.00102075535896563,0.0105478053759782,0.83327662470228,0,514,3099,6849,1605,1645
1034,"spcl",236,0.00847457627118644,0.00423728813559322,0.0127118644067797,0.00847457627118644,0,0.00847457627118644,0.00423728813559322,0.466101694915254,146,256,0.0703125,0.0390625,0.02734375,0,0.00390625,0.02734375,0.0078125,0.23046875,242,301,6849,1605,1645
1044,"1",9228,0.768097095795405,0.18628088426528,0.000650195058517555,0,0,0.000108365843086259,0,0,262,7358,0.217178581136178,0.699782549605871,0.00176678445229682,0.000407719488991574,0,0,0,0.000135906496330525,7579,9196,7362,1510,1682
1044,"2",7752,0.000773993808049536,0.685887512899897,0.273606811145511,0.000128998968008256,0,0,0,0,242,7282,0.000274649821477616,0.246360889865422,0.679895633067839,0.00123592419664927,0,0,0,0.000137324910738808,977,7927,7362,1510,1682
1044,"3",8887,0,0.000337571733993474,0.676268707100259,0.292224597727017,0,0,0,0,274,8421,0,0,0.375489846811543,0.586153663460397,0.000593753710960693,0.000118750742192139,0,0,592,8732,7362,1510,1682
1044,"4",9240,0,0,0.000649350649350649,0.792965367965368,0,0.00898268398268398,0.000108225108225108,0.000108225108225108,276,10206,0,0,0.000195963158926122,0.416323731138546,0.00872036057221242,0.069174995100921,0.00166568685087204,0,256,9475,7362,1510,1682
1044,"g-p",1388,0,0,0,0,0.989913544668588,0.00144092219020173,0,0,8,1384,0,0,0,0,0.773843930635838,0,0,0,318,1492,7362,1510,1682
1044,"master",4941,0,0,0,0.00101194090265129,0.000404776361060514,0.775956284153005,0.00769075086014977,0,834,4785,0.000208986415882968,0.000208986415882968,0,0.00459770114942529,0.00167189132706374,0.542319749216301,0.0238244514106583,0,1484,4816,7362,1510,1682
1044,"Phd",3099,0,0,0,0,0,0.00968054211035818,0.919328815747015,0,120,3008,0,0,0,0,0.000332446808510638,0.00930851063829787,0.825132978723404,0,564,3180,7362,1510,1682
1044,"spcl",301,0.00664451827242525,0.00332225913621262,0.0132890365448505,0,0,0.00332225913621262,0,0.408637873754153,183,307,0.0521172638436482,0.0195439739413681,0.0390879478827362,0,0,0.00651465798045603,0.00977198697068404,0.234527687296417,274,348,7362,1510,1682
1054,"1",9196,0.744562853414528,0.203131796433232,0.000543714658547194,0.000108742931709439,0,0,0,0,399,7257,0.214827063524873,0.702631941573653,0.00220476781038997,0,0,0,0,0.000137797988149373,7587,9175,7266,1623,1511
1054,"2",7927,0.000378453387157815,0.691308187208275,0.266305033430049,0.000126151129052605,0,0,0,0,195,7546,0.000265041081367612,0.260270341902995,0.681553140736814,0.00066260270341903,0.000132520540683806,0,0,0,1001,8071,7266,1623,1511
1054,"3",8732,0,0.000229042601923958,0.678309665597801,0.294205222171324,0,0,0,0,208,8259,0,0.000121080033902409,0.369294103402349,0.596077006901562,0.000847560237316866,0,0,0,520,8743,7266,1623,1511
1054,"4",9475,0.000105540897097625,0,0.000633245382585752,0.797255936675462,0,0.00696569920844327,0.000527704485488127,0,268,10402,0.000192270717169775,0,0.00038454143433955,0.412612959046337,0.00807537012113055,0.0714285714285714,0.0007690828686791,0,282,9532,7266,1623,1511
1054,"g-p",1492,0,0,0,0.000670241286863271,0.989276139410188,0.000670241286863271,0,0,2,1480,0,0,0,0.000675675675675676,0.90472972972973,0.000675675675675676,0.000675675675675676,0,157,1600,7266,1623,1511
1054,"master",4816,0,0,0,0.00124584717607973,0.000415282392026578,0.781353820598007,0.00581395348837209,0,785,4635,0.000215749730312837,0,0,0.00517799352750809,0.0017259978425027,0.544336569579288,0.0230852211434736,0,1567,4884,7266,1623,1511
1054,"Phd",3180,0,0,0,0,0,0.00628930817610063,0.911320754716981,0,119,3050,0,0,0,0,0.000655737704918033,0.0134426229508197,0.832459016393443,0,558,3215,7266,1623,1511
1054,"spcl",348,0.0201149425287356,0.0028735632183908,0.0172413793103448,0.00574712643678161,0,0,0,0.350574712643678,209,331,0.0725075528700906,0.0181268882175227,0.0302114803625378,0.0151057401812689,0.00604229607250755,0.027190332326284,0.00604229607250755,0.226586102719033,224,300,7266,1623,1511
1064,"1",9175,0.73700272479564,0.211008174386921,0.000871934604904632,0,0,0,0,0,454,7224,0.195459579180509,0.733527131782946,0.00152270210409745,0,0,0.000138427464008859,0,0,7662,9111,7210,1678,1480
1064,"2",8071,0.000495601536364763,0.676743897906083,0.282245074959732,0.000123900384091191,0,0,0,0,195,7594,0.000526731630234396,0.263892546747432,0.674743218330261,0.00118514616802739,0,0,0,0,931,8246,7210,1678,1480
1064,"3",8743,0.000114377216058561,0,0.68683518243166,0.285142399633993,0,0,0,0,201,8497,0,0,0.37566199835236,0.593032835118277,0.00082382017182535,0.0002353771919501,0,0,517,8856,7210,1678,1480
1064,"4",9532,0,0,0.000314729332773815,0.79951741502308,0,0.00618967687788502,0,0,292,10409,0.000192141416082237,0,0.000288212124123355,0.40897300413104,0.0100874243443174,0.0662887885483716,0.00182534345278125,0,240,9559,7210,1678,1480
1064,"g-p",1600,0,0,0,0,0.991875,0.001875,0,0,3,1590,0,0,0,0,0.873584905660377,0.000628930817610063,0,0,192,1708,7210,1678,1480
1064,"master",4884,0,0,0,0.00040950040950041,0,0.77027027027027,0.00593775593775594,0.000204750204750205,871,4712,0.000212224108658744,0,0,0.00297113752122241,0.00275891341256367,0.568336162988115,0.0199490662139219,0.000212224108658744,1633,5049,7210,1678,1480
1064,"Phd",3215,0,0,0,0,0,0.00404354587869362,0.920684292379471,0,112,3101,0,0,0,0,0.000322476620445018,0.00999677523379555,0.832957110609481,0,520,3216,7210,1678,1480
1064,"spcl",300,0.01,0.00333333333333333,0.00666666666666667,0,0,0.0133333333333333,0,0.493333333333333,125,274,0.109489051094891,0.0437956204379562,0.0328467153284672,0,0.00364963503649635,0.0474452554744526,0,0.251824817518248,230,300,7210,1678,1480
1074,"1",9111,0.751399407309845,0.196356053122599,0.00032927230819888,0.000109757436066293,0,0,0,0,373,7233,0.215816397068989,0.70897276372183,0.00179731784874879,0,0,0,0,0,7637,9229,7318,1634,1401
1074,"2",8246,0.000363812757700703,0.681421295173417,0.282682512733447,0.000121270919233568,0,0,0,0,222,7631,0.000524177696239025,0.244922028567684,0.695190669637007,0.000524177696239025,0,0,0,0,1074,8079,7318,1634,1401
1074,"3",8856,0,0,0.681007226738934,0.290989159891599,0,0,0,0,179,8549,0.000350918236051,0.000116972745350333,0.368932038834951,0.599719265411159,0.000818809217452334,0.000233945490700667,0,0,501,8978,7318,1634,1401
1074,"4",9559,0.000104613453290093,0,0.000313840359870279,0.798932942776441,0,0.00742755518359661,0.000104613453290093,0,290,10510,9.51474785918173e-05,0,0.000190294957183635,0.40837297811608,0.009895337773549,0.0716460513796384,0.00161750713606089,0,254,9700,7318,1634,1401
1074,"g-p",1708,0,0,0,0,0.986533957845433,0.00234192037470726,0,0,9,1696,0,0,0,0.00117924528301887,0.893278301886792,0,0,0,191,1822,7318,1634,1401
1074,"master",5049,0.000198059021588433,0,0,0.000792236086353733,0.000396118043176867,0.76866706278471,0.00732818379877203,0,845,4820,0.0004149377593361,0,0,0.0033195020746888,0.00103734439834025,0.564315352697095,0.0217842323651452,0.00020746887966805,1647,5151,7318,1634,1401
1074,"Phd",3216,0,0,0,0,0,0.00342039800995025,0.922885572139303,0,107,3114,0,0,0,0,0,0.00770712909441233,0.851637764932563,0,560,3338,7318,1634,1401
1074,"spcl",300,0.03,0.00333333333333333,0.00666666666666667,0,0,0.0266666666666667,0.00333333333333333,0.373333333333333,119,231,0.0909090909090909,0.0303030303030303,0.012987012987013,0.0216450216450216,0,0.0216450216450216,0.0173160173160173,0.510822510822511,232,351,7318,1634,1401
1084,"1",9229,0.74406761295915,0.207498103803229,0.000325062303608192,0,0,0,0,0.000108354101202731,281,7161,0.217567378857701,0.710375645859517,0.0023739701159056,0,0,0,0,0,7598,9194,7337,1737,1473
1084,"2",8079,0.000371333085777943,0.679787102364154,0.278499814333457,0.000495110781037257,0,0.000123777695259314,0,0,194,7605,0.000262984878369494,0.25180802103879,0.68836291913215,0.00144641683103222,0,0.000131492439184747,0,0.000131492439184747,1006,8021,7337,1737,1473
1084,"3",8978,0,0.000111383381599465,0.683448429494319,0.292047226553798,0,0,0,0,192,8582,0.000233045910044279,0.000349568865066418,0.363085527848986,0.609881146585877,0.000815660685154976,0,0,0,501,8878,7337,1737,1473
1084,"4",9700,0.000206185567010309,0,0,0.81319587628866,0.000103092783505155,0.00494845360824742,0.000309278350515464,0,259,10780,0.000185528756957328,0,9.27643784786642e-05,0.427736549165121,0.0098330241187384,0.0701298701298701,0.0012987012987013,0,260,10131,7337,1737,1473
1084,"g-p",1822,0,0,0,0,0.991218441273326,0,0.000548847420417124,0,8,1818,0,0,0,0,0.923542354235424,0.00165016501650165,0.00055005500550055,0,188,1993,7337,1737,1473
1084,"master",5151,0,0.0001941370607649,0.0001941370607649,0.0011648223645894,0.0005824111822947,0.780430984274898,0.0071830712483013,0.0001941370607649,838,4924,0.000203086921202275,0.000203086921202275,0.000203086921202275,0.00284321689683184,0.00182778229082047,0.598903330625508,0.0213241267262388,0,1662,5406,7337,1737,1473
1084,"Phd",3338,0,0,0,0.000299580587177951,0,0.00419412822049131,0.919712402636309,0,119,3230,0,0,0,0,0.00123839009287926,0.00897832817337461,0.835913312693498,0,567,3390,7337,1737,1473
1084,"spcl",351,0.0227920227920228,0.0056980056980057,0,0,0,0.00854700854700855,0,0.290598290598291,218,322,0.0962732919254658,0.0279503105590062,0.0217391304347826,0.0031055900621118,0,0.0186335403726708,0.0093167701863354,0.152173913043478,215,265,7337,1737,1473
1094,"1",9194,0.730802697411355,0.214705242549489,0.000435066347618012,0,0,0.000108766586904503,0,0,241,6973,0.229599885271763,0.687939194034132,0.00172092356231177,0.000573641187437258,0.000143410296859315,0,0,0,7463,9110,7209,1801,1546
